,processed,label
1685,yeah tech random channel cover corona virus lot medium click,neg
1686,president dont want get careless die,neg
1687,person cant handle coronavirus crisis doesnt even know pant wet,neg
1688,yall freakin coronavirus lil spring break vacays like stay home dumb ion,neg
1689,unfortunately work still expect come dont much choice coronavirus central,neg
1690,surprise still use awful hold hand meme advert,neg
1691,shock thats think country crisis blackford,neg
1692,put would absolutely awful coronavirus take conservative ignorant hee,neg
1693,coronavirus news super weird since literally play plague inc name disease covid,neg
1694,angry coronavirus itchy spot scalp cold ear supposedly touch,neg
1695,mess put mask diary frontline coronavirus health crisis,neg
1696,fuck something stop flight,neg
1697,sxsw cancel due coronavirus,neg
1698,coronavirus shit annoy,neg
1699,msc offer reschedule coronavirus book cruise want cancel need know nat,neg
1700,case cross around world badly affected graph increase tren,neg
1701,bitch grunt bully lie approximately coronavirus case worldwide deaths united state,neg
1702,trump claim death rate coronavirus false contradict world health organization via,neg
1703,several decade coronavirus know medical literature common cold amaz,neg
1704,golden state warrior play nba game despite coronavirus warn click read,neg
1705,china januaryfebruary export tumble import coronavirus batter trade business,neg
1706,warped coronavirus porn explodes popularity pornhub sick vids show star sex hazm via,neg
1707,lot festival cancel due corona virus,neg
1708,headline two word long,neg
1709,tell dont let wall street use coronavirus excuse weaken banking regulation thi,neg
1710,imagine bidens plan reach across aisle work coronavirus find common ground,neg
1711,get slight bit sick start think ive get coronavirus look sign symptom,neg
1712,cancel flight cancel conference due,neg
1713,irresponsible selfish amp reprehensible family missouri woman coronavirus break quarantine attend,neg
1714,unfortunately prem game tomorrow postpone cant make journey due symptom coronavirust,neg
1715,adviser irans foreign minister virus,neg
1716,coronavirus past containment america limit epidemic qampa former fda chief,neg
1717,tbh think corona virus blow proportion alot fear monger ngl dont want get sick lmoa,neg
1718,healthcare worker scream coronavirus somebody sneeze ahh really hate,neg
1719,disappointing night hope student might coronavirus least something laugh,neg
1720,none say ever moron suggest use flu vaccine coronavirus,neg
1721,possible cure corona virus covid disease contact cdc white house,neg
1722,much like coronavirus know unless test mind reading inconclusive due false,neg
1723,factbox airline suspend flight due coronavirus outbreak,neg
1724,outrage slow testing spread across alongside coronavirus number via,neg
1725,oil crash saudi arabiarussia crude price war amp coronavirus fear business news,neg
1726,covid bad bible verse,neg
1727,psgfrance star kylian mbappe test coronavirus miss training could miss champion league encount,neg
1728,long dont hear black people get coronavirus clear,neg
1729,god hell yes fuck coronavirus fuck uni work wasnt anything last year nothing gon,neg
1730,long till time offlooking forward work crazy right coronavirus cause people panic buy,neg
1731,pic dangerous coronavirus pic indian medium show,neg
1732,little boy outside kenzies school say get coronavirus moe gtf around,neg
1733,soccer romanian match play without spectator due coronavirus,neg
1734,cool campus close coronavirus crazy lmaoo,neg
1735,sicc guy yay ampdont mention anything coronavirus cold leave alone,neg
1736,careful democrat want spread coronavirus cpac make wear mask sanitize,neg
1737,anything cancel coronavirus say cancelled due anxiety people dont think youre pussy,neg
1738,support trump lie death rate less cdc hav,neg
1739,trip visit australian exchange student get canceled coronavirus heartbroken,neg
1740,every day get bad new jersey physician assistant test positive coronavirus attend,neg
1741,pray coronavirus spread let careful wear face mask,neg
1742,way people coronavirus new york walk past like people day reali,neg
1743,trump selfish reason hold back coronavirus test kit exprosecutor,neg
1744,chinese scientist say may second dangerous coronavirus strain,neg
1745,week ago fuck coronavirus scaremongering get dysentery nothing,neg
1746,corona virus defence hardwarehobby store amp buy drop face splash guard like pimple popper,neg
1747,coronavirus really make bad nightmare come true stats via panopto,neg
1748,report cure covid near imminent cure mocha stupidity,neg
1749,doctor test chi higgins saw approximately patient self isola,neg
1750,global lick black monday wound,neg
1751,mortality death sars worst coronavirus,neg
1752,catholic university plan home class due coronavirusbusiness daily via,neg
1753,new study eyeopener coronavirus spread little know,neg
1754,local area clearly isnt take coronavirus thing seriously,neg
1755,trump lie corona virus completely put republican party lying presidency penny,neg
1756,atart die coronavirus ill flooring remember right,neg
1757,trump fcked coronavirus emegency step let president penny take,neg
1758,corona virus nigga annoy hell get wholee luggage come,neg
1759,lufthansa halve capacity due coronavirus,neg
1760,bandai namco reschedules three tekken world tour soul calibur world tour event due coronavirus,neg
1761,bro really get crazy coronavirus,neg
1762,anyone else sick hear coronavirus,neg
1763,anyone make big deal coronavirus idiot afraid get strep throat,neg
1764,today fuck headline fuck america coronavirus prompt white house mull economic stimulus plan trumps hotel,neg
1765,corona virus noo bruhh wtf cant believe,neg
1766,actual fuck chinese corona virus please explain,neg
1767,need stop laughing coronavirus joke cause serious,neg
1768,logic make zero sense country coronavirus case,neg
1769,shoutout wife whos school district close much week due coronavirus team,neg
1770,travel hour nike factory store store bicester close,neg
1771,gon say gon pissed get fuck coronavirus like kid good fucking cold,neg
1772,theyll soon use coronavirus excuse small crowd size plan way,neg
1773,time change spring break coronavirus fear could tough one pray pastor,neg
1774,maybe coronavirus aint bad,neg
1775,talk common strategy croatian precidency remind show organize tonight,neg
1776,might miss holiday plan friend due coronavirus catch play holi thats,neg
1777,corona virus probably bad time revisit stand,neg
1778,irony incessantly repeat fake republi,neg
1779,feel bit university close recreate day everyone vacat,neg
1780,imagine much profit one couldve make invest toilet roll past week,neg
1781,first earthquake coronavirus shit need fuck falcon winter soldier,neg
1782,feel try read coronavirus article behind paywall,neg
1783,someone please whitepaper coronavirus affect remote work,neg
1784,italy university shut,neg
1785,ministry health talk self quarantine iam curious work,neg
1786,someone riverside county corona virus scary,neg
1787,people afraid coronavirus free healthcare someone without insurance get sick everyone,neg
1788,parade cancel due,neg
1789,premier league club stepup behind closed door plan amid coronavirus threat,neg
1790,please act suggest wfh sick people come,neg
1791,coronavirus ruin relationship fuck,neg
1792,ive notice cough wide mouth wide open randomly guess still kid,neg
1793,dont mean blow trumpet fuck toot toot ive avoid people long coronavirus come along,neg
1794,break new case corona virus italy total infect dead massive increase since yesterday,neg
1795,please god dont let corona virus shut next friday ill edm watch,neg
1796,grampian health board deny three case coronavirus area put three local,neg
1797,toilet roll,neg
1798,coronavirus could spread frightening rapidity overburden healthcare system claim life,neg
1799,give anyone hard time waive fee,neg
1800,come everything trump doesnt give fuck affect,neg
1801,corona virus hit walmart china toilet paper,neg
1802,idiot literally everyone know coronavirus covid hard racist trash,neg
1803,cdc warns long plane trip cruise coronavirus case mount via,neg
1804,threat show sick pay day one right everybody government must take str,neg
1805,bbc news coronavirus dozen trap china quarantine hotel collapse,neg
1806,judge blast trump administration order coronavirus info poster take court,neg
1807,coronavirus outbreak hit beijing smallbusinesses,neg
1808,unofficial sxsw shenanigan still corona virus aint shit,neg
1809,dahh fuck forget pack surgical mask ask point,neg
1810,since town center coronavirus outbreak utah look forward eventual government enfo,neg
1811,corona virus first patient south africa depressing news hear week ready shit,neg
1812,michelle obama rally cancel due coronavirus concern,neg
1813,mean dont corona virus self quarantined anyways orr,neg
1814,coronavirus prepares ask even mildly sick stay home,neg
1815,health commissioner pankaj kumar pandey rumour office school shut due,neg
1816,coronavirus isnt nearly deadly sars much bad seasonal flu folk,neg
1817,coronavirus test amp something applaudi,neg
1818,gavin newsom praise trump coronavirus cruise ship response every single thing say follow,neg
1819,scientist say theres second dangerous strain,neg
1820,president stop coronavirus state president moron,neg
1821,new post coronavirus spread barcelona napoli play behind closed door,neg
1822,partial reopening shanghai disneyland coronavirus keep theme park shut,neg
1823,major european sport game hold behind closed door due fear,neg
1824,underprepared coronavirus due trump cut say health expert,neg
1825,nancy pelosi try cover awful truth coronavirus american people via,neg
1826,coronavirus premier league club tell make plan play behind closed door,neg
1827,nebraska woman coronavirus age critical condition,neg
1828,fee hospital non european get sick corona virus,neg
1829,deadly flu pandemic vaccine slow response american,neg
1830,discussion coronavirus cant pay attention woman wear awful hose arent guy,neg
1831,coronavirus house pass roughly billion bipartisan emergency funding deal,neg
1832,year annual epidemic seasonal flu prove much devastating coronavirus united,neg
1833,know politics shape world know corona virus bad kinda need shut without constant,neg
1834,somebodys little cranky fluffer bring coronavirus white house,neg
1835,coronavirus make vega economy sick yes lack test,neg
1836,cdc total death due new coronavirus mar death previous report,neg
1837,italy shut lombardy region due coronavirus airline like amp online tra,neg
1838,fact coronavirus die african sun sort twisted reparation,neg
1839,soo gon announce every single time anyone may may coronavirus dont kee,neg
1840,look like week talk coronavirus,neg
1841,bro coronavirus legit stop world dead track,neg
1842,coronavirus fallout see stock tumble prisoner kill global hysteria boom,neg
1843,instead tweet work stop corona virus idiot hear may,neg
1844,dead coronavirus quarantine hotel collapse china,neg
1845,cancel houston livestock show rodeo due coronavirus stupid thats,neg
1846,lie damn lie coronavirus infection number propagandawatch,neg
1847,jim little legwork researcher currently think five coronavirus case,neg
1848,conspiracy mental ward cpac attendee want know mystery coronavirus patient,neg
1849,coronavirus bad stomach virus cuz mane loose shit aint joke,neg
1850,conference suppose two week cancel due coronavirus ffs,neg
1851,nah man yall fuck idiot dont think china fault corona virus,neg
1852,gaumutra party delhi cow dung cake serve participant end corona virus sick,neg
1853,coronavirus party must sick get,neg
1854,scientist close coronavirus vaccine year ago money dry,neg
1855,ciara postpones texas concert due coronavirusfears,neg
1856,way coronavirus handle another disappointing example break healthcare system via,neg
1857,year baseball play despite deadly drop pergame atten,neg
1858,airline could lose billion passenger revenue due coronavirus iata say,neg
1859,request postpone psl match due situation,neg
1860,china ill much deep coronavirus world panic,neg
1861,wow since coronavirus outbreak become know chinese national catch try illegally enter,neg
1862,coronavirus death toll rise case surge past,neg
1863,might get face mask one coronavirus one dont catch pregnancy aswelleveryone pregnant scary,neg
1864,fact check white house falsely claim coronavirus contain cnnpolitics,neg
1865,everyone still talk coronavirus thing get little crazy today central par,neg
1866,idk outbreak corona virus bad people say,neg
1867,monday ink ultra money coronavirus crude goosto xle xop uso,neg
1868,china firm develop system recognize face behind coronavirus mask,neg
1869,gov dewine recommend sport without spectator remote learn college slow spread coronavirus,neg
1870,fam slow dont know aint peep game coronavirus aka voter suppression paranoid everythi,neg
1871,seriously say worldleading coronavirus treatment excatly,neg
1872,dont filthy hand produce germ turn kill corona virus,neg
1873,guideline differentiate coronavirus cold flu stay safe everyone,neg
1874,coronavirus outbreak affecting everyday life,neg
1875,track seriously news cover,neg
1876,trump face revolt senior gop official incompetent handling coronavirus crisis,neg
1877,coronavirus outbreak fear bitcoin slump past week,neg
1878,strong market downdraft drive coronavirus fear feel unsettling watch three action,neg
1879,trump contract coronavirus become seriously ill also become sick see,neg
1880,dear good,neg
1881,post show infected liberal mental illness,neg
1882,coronavirus live update death toll rise italy may lock center outbreak washington post,neg
1883,well guy coronavirus panic,neg
1884,least dead hotel use coronavirus quarantine collapse china,neg
1885,ima say coronavirus mfckas texas come texas shit need,neg
1886,day renew lease living america coronavirus shit fuck plan,neg
1887,wish coronavirus would shut resort tbh,neg
1888,coronavirus real threat moron decide make thing bad ignore,neg
1889,except still happen coronavirus isnt bad,neg
1890,coronavirus outbreak terrible news climate change via,neg
1891,coronavirus deadly epidemic spark global emergency four via,neg
1892,president trump announces payroll tax cut relief pay sick leave response coronavirus panic video,neg
1893,american council education cancel conference due coronavirus,neg
1894,pay people new york let infect corona virus shit bro infect fuck virus get money,neg
1895,antipathogenicantiviral botanical solution kill coronavirus selectively kill bad bacteriamak,neg
1896,quite literally disgust clean subway wasnt measure already place,neg
1897,prevent coronavirus spread cdc recommends wash hand soap water least second,neg
1898,turbografx mini delay due coronavirus,neg
1899,new report detail trump personally make americas coronavirus response worse,neg
1900,matter flu common cold battle age sever,neg
1901,unless coronavirus mess daddy number,neg
1902,coronavirus disease equally deadly,neg
1903,get past corona ringtone appreciate new corona virus advisory sometimes,neg
1904,hope corona virus wipe ugly ppl,neg
1905,wonder theyre kick state city ppl dumbass coronavirus,neg
1906,wall sneeze australia catch cold wall catch covid australia,neg
1907,china coronavirus recovery fake whistleblower resident claim via,neg
1908,death toll reach least,neg
1909,tired hear coronavirus like either way yall wash hand,neg
1910,least coronavirus hasnt ruin amirite,neg
1911,thing really bother coronavirus fuck expert include bbc profe,neg
1912,fear amp people work home expect quieter today,neg
1913,price designer bag due coronavirus please,neg
1914,cant stress enough terrible guy put paywall coronavirus coverage,neg
1915,bahrain grand prix hold behind closed door due coronavirus,neg
1916,preparing time fight back,neg
1917,contact acl international ask relax rule outbreak think fly empty,neg
1918,whats plan silly plan,neg
1919,bruh tour get cancel cause corona virus shit imma fuckin livid,neg
1920,sad part coronavirus pandemic child see meme noticing,neg
1921,prison ripe coronavirus outbreak theyre ready,neg
1922,suppose work corona virus fuck shit,neg
1923,coronavirus insane flight price right mean theyre cheap,neg
1924,sick see liberal medium try hard spread panic corona virus order,neg
1925,bad start get little sick joke brand new,neg
1926,dear sir respect corona virus outbreak school delhi close till march till,neg
1927,typical shut woman raise opinion make wor,neg
1928,reportedly cancel coronavirus fear confirmation expect,neg
1929,mlb nba consider alternate site instead empty stadium coronavirus prep thats wrong move,neg
1930,still confirmed case coronavirus connecticut,neg
1931,coronavirus dumb,neg
1932,wait till coronavirus count dead,neg
1933,trump use usual deal everything coronavirus impervious bully,neg
1934,womens hockey world championship cancel due coronavirus threat report,neg
1935,jail operator come grow realization matter time coronavirus,neg
1936,sxsw cancel due coronavirus austin declares local disaster,neg
1937,fight hard magny end coronavirus racism,neg
1938,trump call whos global death rate coronavirus false number might eventually prove high,neg
1939,least dead drink toxic alcohol iran coronavirus cure rumor via,neg
1940,noon friday people test coronavirus new york city past mont,neg
1941,nope matter happen use coronavirus excuse fix mean fix biden,neg
1942,yeah stephen say coronavirus isnt serious,neg
1943,ive say week regular flu much dangerous coronavirus president trump,neg
1944,chronology deadly coronavirus,neg
1945,corona virus hit hard look state meal deal section tesco,neg
1946,trump administration draft measure blunt economic fallout help slow spr,neg
1947,student coronavirus serious health concern university put student danger,neg
1948,damn hakata traditional craft design museum close send google map photo coronavirusrelated,neg
1949,usage photo directly relate coronavirus coverage disease poor reporting,neg
1950,medium keep talk shop restaurant seattle empty coronavirus starbucks,neg
1951,factory produce tonne toilet paper amid coronavirus,neg
1952,coronavirus outbreak wash hand else youll nasty germ coronavirus outbreak wash,neg
1953,coronavirus work else fail nope democrats hate trump matter many obstacle,neg
1954,suspect coronavirus patient miss zimbabwe hospital,neg
1955,coronavirus treatment free yall still mad yall never accept anything trump administration,neg
1956,croanies busy drum biden fake news instead handle corona virus pandemic,neg
1957,may way stop spread corona virus infect sample stupidity play numerous,neg
1958,myth buster common rumour covid,neg
1959,know awful dems yell mics coronavirus happen,neg
1960,give shit tell mainers truth coronavirus perspective senator,neg
1961,boise state student isolation due worry,neg
1962,ruthlessly plan ahead male agency exec balance work family age coronavirus,neg
1963,idiot guide coronavirus emergency physician via,neg
1964,holy jeez sxsw cancel due coronavirus concern,neg
1965,wrong dotard tunt say coronavirus boost economy american,neg
1966,ted cruz announces selfquarantine shake hand coronavirusvictim,neg
1967,get serious,neg
1968,google work behind scene block coronavirus misinformation,neg
1969,omg esp stupid coronavirus try touch much hand wash toda,neg
1970,deliver small business need help covid sean constituent medium,neg
1971,material show benefit type sure,neg
1972,coronavirus panic stupid asf cause outta,neg
1973,derail plan today spend minute ethic class talk coronavirus everyt,neg
1974,council foreign relation roundtable call business coronavirus cancel due,neg
1975,interview harvard epidemiologist marc lipsitch explain novel coronavirus dangerous,neg
1976,series mania festival industry event cancel due coronavirus,neg
1977,know chapo behind coronavirus duh coronavirus,neg
1978,bruhim tired hear coronavirus,neg
1979,coronavirus make work home wont even mad,neg
1980,coronavirus least four dead china quarantine hotel collapse,neg
1981,ingraham angle coronavirus cold open snl,neg
1982,china literally shut china yall think corona virus joke mean get make light,neg
1983,answer trump coronavirus sick hoax,neg
1984,tell difference coronavirus common cold deadly virus spread dailymir,neg
1985,get mess hand president coronavirus wall street china trade deal complet,neg
1986,wait may immune coronavirus drink mad dog teenager arrest,neg
1987,kudos trader joes though change sick leave policy employee coronavirus symptom,neg
1988,shock book write year ago accurately predict coronavirus valid update,neg
1989,state election official work mitigate voter coronavirus fear could depress turnout,neg
1990,please buy one toy homeless child coronavirus black swan sequoia capital publication medium,neg
1991,top coronavirus wash fuck hand please,neg
1992,nhl end locker room interview due coronavirus concern,neg
1993,could event like pride cancel due coronavirus,neg
1994,pray corona virus find moscowmitch love much say grim reaper meet grim reaper,neg
1995,cmt studio shut telethon attendee diagnose coronavirus,neg
1996,wrong think people overexaggerating corona virus whenever hear cant help,neg
1997,since cause evil spirit would helpful get,neg
1998,damn thats coronavirus really get serious huh,neg
1999,italy farce food ration coronavirus dominate front page news sky news,neg
2000,always way work round blame government coronavirus,neg
2001,business continuity covid remote work conner wilkinson,neg
2002,really scared covid plus real sad,neg
2003,omg pneumonia lung failure case late last year might old form type wuhan coronavirus,neg
2004,coronavirus toilet paper row two charge,neg
2005,ive wait announcement cancel due coronavirus,neg
2006,people cruise hear cruise end coronavirus,neg
2007,lmao coronavirus symptom look like common cold symptom,neg
2008,coronavirus panic dumb,neg
2009,hmm never heard corona virus see decline world get tunnel vision hate rain,neg
2010,feed cup national junior athletics postpone due coronavirus fear,neg
2011,korea coronavirus development slowly move shincheonji church jesus zumba,neg
2012,ivy league cancel upcoming basketball tournament due coronavirus outbreak,neg
2013,anything else come coronavirus blame pool harrahs confiscate hand sanitizer,neg
2014,coronavirus reach pandemic proportion thin herd old weak reduce impact climate change,neg
2015,today climate fake sneeze get personal space youve always dreamt,neg
2016,type ppl afraid coronavirus,neg
2017,thats longer ive today travel agent coronavirus deal lately,neg
2018,awful risk former fda head scott gottlieb caution cruise amidcoronavirus,neg
2019,trading resume brief halt dow open nearly oil plunge coronavirus fear,neg
2020,fear negative impact gdp due coronavirus overstated via,neg
2021,absolutely ridiculous,neg
2022,bbc news coronavirus health worker scotland could sick,neg
2023,usa need test instead set gold standard behind polit,neg
2024,dozen domestic worker hong kong fire due crisis time allow,neg
2025,complicated case india people suffer coronavirusslowlyslowly,neg
2026,retailer comment coronavirus affect business business insider long wil,neg
2027,cnns john harwood walk time corruptrump attacked expert coronavirus raw story,neg
2028,trade body predict big coronavirus hit foreign direct investment sunriseread,neg
2029,self isolation youve contact suspect carrier work long term,neg
2030,come late save bernie,neg
2031,imagine mental gymnastics order use coronavirus currently spread whit,neg
2032,let find youre try smoke bad bunny watch disney inside coronavirus dude,neg
2033,sxsw cancel due coronavirus,neg
2034,bummer johnny set south southwest cancel due coronavirus personal,neg
2035,majority freak weak mind know liberal believe,neg
2036,tim cook encourage remote work apple global office due coronavirus,neg
2037,trump reportedly afraid journalist purposefully give coronavirus,neg
2038,gretchen whitmer coronavirus case michigan sign state emergency slow spread,neg
2039,hey millennials netflix chill make vulnerable coronavirus,neg
2040,past train kirkby reason end coronavirus,neg
2041,long ago know romance capital world today export afr,neg
2042,corona virus expose nasty yall medium blow outta proportion lmao,neg
2043,babussalam masjid nabvi also close due fear coronavirus really heart wrench amp scary,neg
2044,traitor moronic loyalistsddss coronavirus marawi ruin date discontinue program return,neg
2045,tldr idiot chief get people kill,neg
2046,want thank allow cancel book due coronavirus threat issue cre,neg
2047,yeah right rep matt gaetz slept walmart parking lot overnight confirms test negative coronavirus,neg
2048,coronavirus eventually come every single state,neg
2049,venture firm sequoia sound alarm economy coronavirus spread,neg
2050,bernie single payer wouldnt eliminate coronavirus outbreak,neg
2051,someone put together compilation silly stuff people worldwide relate coronavirus,neg
2052,still race shit think wed move everyone potential coronavirus carrier,neg
2053,fuck yeah let spread awareness let get nasty coronavirus covid like covid,neg
2054,drs road close due coronavirus ffs,neg
2055,hand sanitizer highly questionable time use inmates dis,neg
2056,feel bad guy spread virushe,neg
2057,leave politics behind search coronavirus cure,neg
2058,congress appropriate hundred million country slush coronavirus bill didnt address,neg
2059,cant help human wasnt bad jade coronavirus fear,neg
2060,flu kill people alone coronavirus kill people worldwide,neg
2061,trick wait long enough corona virus thing blow airline,neg
2062,china chinese new year factory close corona virus lot,neg
2063,televangelist peddle silver fake cure coronavirus warn official stop via,neg
2064,hunch hes idiot trump argue death rate coronavirus false cite hunch claimin,neg
2065,sania mirza raise awareness coronavirus sportsnews,neg
2066,trump youre stand next lie coronavirus wtf,neg
2067,hope every tory get coronavirus hope harvey weinstein die miserable violent death prison,neg
2068,usa need test instead set gold standard behind look,neg
2069,well least plenty leg room,neg
2070,coachella likely take place schedule due coronavirus,neg
2071,exnasdaq ceo impossible believe dont coronavirus recession,neg
2072,bar restaurant italy enforce onemetre ban limit spread coronavirus hard tell,neg
2073,coronavirus gon kill people without common sense people dont wash hand,neg
2074,god allow coronavirus time destroy plan vatican planned meeting world,neg
2075,harsh new united policy change irk flier amid coronavirus fear via,neg
2076,restricts drug export due impact threaten global drug supply,neg
2077,urban poor coronavirus complicate exist health risk,neg
2078,dude wtf sandwich coronavirus,neg
2079,think people caucus mountain coronavirus sorry,neg
2080,hope trump get corona virus hell death rate hoax shut bomb,neg
2081,deadly coronavirus penetrate india follow symptom precautionary measure link vide,neg
2082,coronavirus get round faster thats shock tbh,neg
2083,thread suspends flight tofrom due outbreak read,neg
2084,schumer pelosi urge pay sick leave individual impact coronavirus,neg
2085,china six kill due collapse building use quarantine,neg
2086,bad every epidemic include coronavirus nigeria treat member like,neg
2087,televangelist jim bakker order attorney general stop sell fake cure coronavirus via ratheism,neg
2088,coronavirus laliga barcelona napoli game play behind closed door,neg
2089,corona virus scam whos way get people fucking wash,neg
2090,hear gargle youre protect coronavirus common cold,neg
2091,look homemade hand sanitizer curious possible make get coronavirus artic,neg
2092,pelosis dirty little secret hold back coronavirus funding bill dcc could run super tuesday,neg
2093,late tackle coronavirus spread iran push antizionist conspiracy,neg
2094,apple google crack coronavirus apps combat misinformation,neg
2095,coronavirus testing increase labs fear shortage supply katie thomas via nyt,neg
2096,blame donald trump spread coronavirus covd naive plain ignorant,neg
2097,indian open postpone due coronavirus,neg
2098,believe drive virus merely pin pop,neg
2099,theyre let people hold crew ship due coronavirus smh get block cali follower,neg
2100,virus less power death sickness creation comparison virus suicide every,neg
2101,techsavvy student whose school shut coronavirus try avoid class spamming review,neg
2102,novel coronavirus take seriously read facebook youtube vid,neg
2103,fuck nicki dude corona virus shit nigga bullshit thing thats cause headache,neg
2104,please stop look cough due allergy struggle coronavirus pandemic memoir john,neg
2105,people skeptical rubbish turkey claim case turkey stop,neg
2106,corona virus hit city people ignorant start shut school minimum week,neg
2107,suspected new york coronavirus hate crime investigate man spray air freshener asian passenger,neg
2108,corona virus incompetence people lose faith incompetent president,neg
2109,corona virus update decide ksw fight code take place previously plan,neg
2110,speak even camera coronavirus fire single twe,neg
2111,shut due corona virus apparently,neg
2112,coronavirus fear prompt tesco delivery driver advise take retailer tocourt,neg
2113,cnbc host rick santelli suggest kill million coronavirus bad business,neg
2114,coronavirus bring new legislative push pay sick leave,neg
2115,symptom coronavirus similar flu allergy key difference,neg
2116,know probably one create deadly virus,neg
2117,make coronavirus relate quip spin class morning like lead balloon,neg
2118,adb say global gdp may lose due coronavirus outbreak,neg
2119,spend weekend golf coronavirus spread american die,neg
2120,see manager need know coronavirus expand remote workforce via,neg
2121,something listen whole world crazy coronavirus,neg
2122,nba advise team prep contingency plan game without fan due coronavirus,neg
2123,small number usa case reflect limited test perform dont loo,neg
2124,power cut carbon emission least level,neg
2125,coronavirus sufferer symptomfree five day average study,neg
2126,happen stupid people power,neg
2127,dow due incompetent reaction lack coronavirus,neg
2128,lie coronavirus keep fall shit,neg
2129,university close coronavirus stay home day stream mot,neg
2130,apparently student school might coronavirus instead shut school decide,neg
2131,completely lose trump twitter rampage spark alarm coronavirus tank economy raw story,neg
2132,jinping finally visit wuhan miss city bad coronavirus moment,neg
2133,coronavirus get fuck,neg
2134,post admittedly random coronavirus information,neg
2135,fearful reaction new coronavirus put life risk,neg
2136,nasty human see many people today pick nose cough,neg
2137,maybe coronavirus test take long get due fact insurer,neg
2138,hey chase hold hour try change flight due corona virus anyone help,neg
2139,wanda sport group company report sec coronavirus could affect,neg
2140,around people trap collapse hotel use coronavirus quarantine facility eastern,neg
2141,china hotel use coronavirus quarantine centre collapse people trap,neg
2142,axpona reschedule august due coronavirusoutbreak,neg
2143,say corona virus literally bad well fine unless old fuck immune system,neg
2144,bad could get economist predict coronavirus could hurt global economy,neg
2145,whats next hear regard local school closure due,neg
2146,let get straight everyone call corona virus fake newsmedia driven people,neg
2147,update show cancellation due corona virus ticket,neg
2148,dude airport wear mask coronavirus probs bad thing catch belfast intl like,neg
2149,insane finish test people coronavirus right pending seem like,neg
2150,stock exchange briefly halt trading steep loss due oil price war coronavirus via,neg
2151,apple tell employee work remotely job allow week announce anticoronavirus measure,neg
2152,fuck coronavirus pollen beat,neg
2153,local college university move remote learn amid covid concern,neg
2154,bbc news coronavirus tactic defend case expect rise crazy act,neg
2155,montgomery county school official address concern coronavirus fake school closure letter circul,neg
2156,intentionally start coronavirus long term scheme play empty stadium get boo,neg
2157,fuck coronavirus,neg
2158,dark side tourism globalism spread disease throughout world,neg
2159,texting different fact corona virus past week start think create bihh,neg
2160,iran record high number death due coronavirus one day tehran march iran record,neg
2161,dems want billion coronavirus pork foreign million diplomatic program million global,neg
2162,hey least sadness wont last forever ill die coronavirus first,neg
2163,taleb say musks comment coronavirus panic dumb whats dumb marketwatch,neg
2164,mean republican talk point coronavirus hoax longer position,neg
2165,coronavirus fight sydney woolworth tension flare toilet paper,neg
2166,damn wish brain faster whats cheap toilet pape,neg
2167,unaffected coronavirus,neg
2168,regard dont mean response coronavirus stuff ive follow,neg
2169,world high risk fuckwits spread genetics future generation fucking corona virus,neg
2170,wake failure diamond princess grant tarling step,neg
2171,even corona virus would step vote trump end cant touch,neg
2172,know coronavirus extremely serious imagine enter namibia,neg
2173,either cold coronavirus,neg
2174,bethlehem holy sit close coronavirus report hotel,neg
2175,feel like massive shoe drop regard coronavirus situation minute,neg
2176,arrive barcelona yesterday afraid coronavirus hope dont,neg
2177,idiot squat oval office amp corrupt administration say,neg
2178,believe coronavirus strain patent pirbright institute partially fund,neg
2179,thank god didnt want coronavirus lie dirty floor like animal bro,neg
2180,wont stop community come together celebrate,neg
2181,coronavirus threaten football season man utd could play behind closed door gary neville speaks,neg
2182,due concern covid academy osseointegration cancel annual meeting,neg
2183,theatre shut,neg
2184,coronavirus dangerous kangoriwo kaexcitement give people test positive coro,neg
2185,even cancel class due coronavirus therell still student live together jester rip,neg
2186,dfw terminal sunday surreal experience see airport thin traffic,neg
2187,welp look like cant graduate stupid corona virus,neg
2188,cant wait june try lock country due coronavirus local pub,neg
2189,crazy,neg
2190,actually call covid type coronavirus common cold,neg
2191,look death coronavirus usa look partyline control state disturb,neg
2192,curious everyones feel coronavirus,neg
2193,coronavirus come one yall dirty mama supper plate,neg
2194,weird look like partisanship coronavirus know,neg
2195,base revised coronavirus death toll usa could possibly see million dead figure,neg
2196,coronavirus town everyones wild store stock much shit cant even get toilet paper,neg
2197,ordinary iranian citizen around,neg
2198,school give week move covid outbreak rough day try make,neg
2199,justin bieber might bad tbh,neg
2200,sxsw hold next week due coronavirus concern reschedule apologize,neg
2201,bad news study predict million dead coronavirus thats bestcase scenario,neg
2202,think corrupt ignorant greedy one coronavirus big,neg
2203,alert info make senitizer home correct rest info useful coronavirus,neg
2204,san jose public school close oak grove school san joseca due covid move online class sign,neg
2205,kerala declare holiday student study class due scare,neg
2206,idiot guide coronavirus emergency physician via,neg
2207,thus far chinese population catch corona virus half recover already,neg
2208,due game alemannia aachen due play wednesday bee,neg
2209,practically empty carriage two guy get sit either side coronavirus,neg
2210,china firm develop system recognize face behind coronavirus mask,neg
2211,corona virus dangerous thing come cpac think,neg
2212,fuck sick back teeth read coronavirus even sick read spell wrong thousand,neg
2213,coronavirus serious couldnt last one,neg
2214,well boy coronavirus,neg
2215,florida man get drunk fight corona virus win,neg
2216,insane cruel watch nurse rip question afford make coronavirus vaccine free,neg
